,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
4419,DEUTSCHLAND GMBH,,,,2015-01-15,2015-06-15,2015
4420,EFACEC SERVICOS DE,,,IMPROVEMENT OF THE RADAR ENVIRONMENT,2015-01-15,2015-06-15,2015
4421,MANUTENCAO E ASSISTENCIA SA,PRT,714225,CONTROL SYSTEM (ECS),2015-01-15,2015-06-15,2015
4422,EFACEC SERVICOS DE,,,RADAR ENVIRONMENT CONTROL SYSTEM,2015-01-15,2015-06-15,2015
4423,MANUTENCAO E ASSISTENCIA SA,PRT,199999,(ECS) RECONFIGURATION,2015-01-15,2015-06-15,2015
4424,ENMO BVBA,BEL,104711,COAX CABLE 3M,2015-01-15,2015-06-15,2015
4425,ESPLODENTI SABINO SRL,ITA,1261500,DEMILITARIZATION,2015-01-15,2015-06-15,2015
4426,ESPLODENTI SABINO SRL,ITA,1893314,TRANSPORT,2015-01-15,2015-06-15,2015
4427,ESW GMBH,DEU,155280,COMPUTER SUBASSEMBLY,2015-01-15,2015-06-15,2015
4428,EURENCO,FRA,394696,HEXOMAX B2269A EMBALLAGE CARTON,2015-01-15,2015-06-15,2015
4429,EUROTRADIA INTERNATIONAL,FRA,116849,"CYLINDER AND PISTON ASSEMBLY,LANDING GEA",2015-01-15,2015-06-15,2015
4430,EUROTRADIA INTERNATIONAL,FRA,123964,"GENERATOR,ALTERNATING CURRENT",2015-01-15,2015-06-15,2015
4431,EXPAL SYSTEMS SA,ESP,2301720,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4432,EXPAL SYSTEMS SA,ESP,450000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4433,EXPAL SYSTEMS SA,ESP,1086768,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4434,EXPAL SYSTEMS SA,ESP,1150000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4435,EXPAL SYSTEMS SA,ESP,416200,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4436,EXPAL SYSTEMS SA,ESP,113687,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4437,EXPAL SYSTEMS SA,ESP,504000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4438,EXPAL SYSTEMS SA,ESP,420462,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4439,EXPAL SYSTEMS SA,ESP,141180,ADAPTER-BOOSTER,2015-01-15,2015-06-15,2015
4440,FEKA INSAAT SAN VE TIC AS,TUR,133576,CLEAN GREASE TRAPS,2015-01-15,2015-06-15,2015
4441,FEKA INSAAT SAN VE TIC AS,TUR,94469,RUNWAY REPAIR,2015-01-15,2015-06-15,2015
4442,FERNO WASHINGTON ITALIA SRL,ITA,343000,BIPHASIC SEMIAUTO.EXTERNAL DEFIBRILLATOR,2015-01-15,2015-06-15,2015
4443,FLIR SURVEILLANCE INC,USA,131933,REPAIR OF A CAMERA S/N 341610,2015-01-15,2015-06-15,2015
4444,FN HERSTAL SA,BEL,296644,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4445,FN HERSTAL SA,BEL,96992,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4446,G&G PARTNERS SRL,ITA,4324369,TECHNICAL OFFICE ROOM,2015-01-15,2015-06-15,2015
4447,G&G PARTNERS SRL,ITA,480000,MOBILE WORKSHOP,2015-01-15,2015-06-15,2015
4448,G3 SYSTEMS LTD,GBR,240470,REPAIR OF BLAST DAMAGES,2015-01-15,2015-06-15,2015
4449,GARANTI GIYIM MOBILYA MAKINE,,,,2015-01-15,2015-06-15,2015
4450,,TUR,1361746,BALLISTIC HELMET SIZE SMALL (S),2015-01-15,2015-06-15,2015
4451,INSAAT,,,,2015-01-15,2015-06-15,2015
4452,GENERAL DYNAMICS EUROPEAN,CHE,220000,RETROFIT KIT DIFF 5.5 3RD AXLE ASSY,2015-01-15,2015-06-15,2015
4453,GENERAL ELECTRIC CO,USA,439199,"INJECTOR,TURBINE",2015-01-15,2015-06-15,2015
4454,GENERAL ELECTRIC CO,USA,3096397,"BLADE,TURBINE ROTOR,AIRCRAFT GAS TURBINE",2015-01-15,2015-06-15,2015
4455,GIANNI ROTICE SRL,ITA,659000,MOLE RESTORATION,2015-01-15,2015-06-15,2015
4456,GIRAITES GINKLUOTES GAMYKLA,,,,2015-01-15,2015-06-15,2015
4457,,LTU,547500,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4458,(AB),,,,2015-01-15,2015-06-15,2015
4459,GMS INTERNATIONAL CORP,USA,180407,"TEST STAND,HYDRAULIC PUMPING UNIT",2015-01-15,2015-06-15,2015
4460,GMS INTERNATIONAL CORP,USA,255480,"LIGHT, ANTICOLLISION",2015-01-15,2015-06-15,2015
4461,GMS INTERNATIONAL CORP,USA,127323,LEADING EDGE INTER,2015-01-15,2015-06-15,2015
4462,GOLDER ASSOCIATES SRL,ITA,582835,SUPPLY & INSTALLATION OF A GROUND TREATMENT PLANT,2015-01-15,2015-06-15,2015
4463,HATCON INSAAT TAHAHHUT,,,EXTENSION OF WATER DISTRIBUTION,2015-01-15,2015-06-15,2015
4464,ITHALAT IHRACAAT LTD STI,TUR,290334,NETWORK,2015-01-15,2015-06-15,2015
4465,HATCON INSAAT TAHAHHUT,,,,2015-01-15,2015-06-15,2015
4466,,TUR,3546245,CONSTRUCTION WORKS,2015-01-15,2015-06-15,2015
4467,ITHALAT IHRACAAT LTD STI,,,,2015-01-15,2015-06-15,2015
4468,HDT EXPEDITIONARY SYSTEMS INC,USA,218179,J SHELTER - GREEN,2015-01-15,2015-06-15,2015
4469,HEAD ITALIA SRL,ITA,759000,HI-2500 HIGH POWER AMPLIFIER,2015-01-15,2015-06-15,2015
4470,HECKLER & KOCH FRANCE SAS,FRA,935000,WEAPON,2015-01-15,2015-06-15,2015
4471,HECKLER & KOCH FRANCE SAS,FRA,486539,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4472,HECKLER & KOCH FRANCE SAS,FRA,2087322,WEAPON,2015-01-15,2015-06-15,2015
4473,HELIAVIAS HAVA DIS TICARET,TUR,103474,"VALVE,PNEUMATIC TANK",2015-01-15,2015-06-15,2015
4474,HELIAVIAS HAVA DIS TICARET,TUR,100512,"WASHER,FLAT",2015-01-15,2015-06-15,2015
4475,HELIAVIAS HAVA DIS TICARET,TUR,80208,ECRAN A CASSER,2015-01-15,2015-06-15,2015
4476,HELIAVIAS HAVA DIS TICARET,TUR,125595,"SCREW,MACHINE",2015-01-15,2015-06-15,2015
4477,HELIAVIAS HAVA DIS TICARET,TUR,93957,"BRACKET,STRUCTURAL COMPONENT,AIRCRAFT",2015-01-15,2015-06-15,2015
4478,HELIAVIAS HAVA DIS TICARET,TUR,139906,"SCREW,MACHINE",2015-01-15,2015-06-15,2015
4479,HELIAVIAS HAVA DIS TICARET,TUR,103926,"CLAMP,HOSE",2015-01-15,2015-06-15,2015
4480,HELIAVIAS HAVA DIS TICARET,TUR,106739,"ALTIMETER SET,ELECTRONIC",2015-01-15,2015-06-15,2015
4481,HELIAVIAS HAVA DIS TICARET,TUR,80832,"RIVET,SOLID",2015-01-15,2015-06-15,2015
4482,HELIAVIAS HAVA DIS TICARET,TUR,94199,"FLANGE,PIPE,SWIVEL RETAINING",2015-01-15,2015-06-15,2015
4483,HELIAVIAS HAVA DIS TICARET,TUR,85312,TOOL KIT,2015-01-15,2015-06-15,2015
4484,HELIAVIAS HAVA DIS TICARET,TUR,1191568,"HOSE ASSEMBLY,NONMETALLIC",2015-01-15,2015-06-15,2015
4485,HELIAVIAS HAVA DIS TICARET,TUR,892206,"FLOTATION BAG,AIRCRAFT",2015-01-15,2015-06-15,2015
4486,HELIAVIAS HAVA DIS TICARET,TUR,741644,"WINDOW PANEL,AIRCRAFT",2015-01-15,2015-06-15,2015
4487,HELIAVIAS HAVA DIS TICARET,TUR,902292,"VALVE,REGULATING,FLUID PRESSURE",2015-01-15,2015-06-15,2015
4488,HELIAVIAS HAVA DIS TICARET,TUR,87753,"HARNAIS,SIEGE AERON",2015-01-15,2015-06-15,2015
4489,HELIAVIAS HAVA DIS TICARET,TUR,83059,"WINDOW PANEL,AIRCRAFT",2015-01-15,2015-06-15,2015
4490,HELIAVIAS HAVA DIS TICARET,TUR,89714,"DIAPHRAGM,GOVERNOR,ENGINE,AIRCRAFT",2015-01-15,2015-06-15,2015
4491,HELIAVIAS HAVA DIS TICARET,TUR,321285,O-RING,2015-01-15,2015-06-15,2015
4492,HELIAVIAS HAVA DIS TICARET,TUR,192449,"GUARD,MECHANICAL DRIVE",2015-01-15,2015-06-15,2015
4493,HELIAVIAS HAVA DIS TICARET,TUR,1145000,"PARTS KIT,HELICOPTER ROTOR",2015-01-15,2015-06-15,2015
4494,HELIAVIAS HAVA DIS TICARET,TUR,1199220,"SWITCH,PRESSURE",2015-01-15,2015-06-15,2015
4495,HELICES HALTER SARL,FRA,498000,"PROPELLER,AIRCRAFT",2015-01-15,2015-06-15,2015
4496,HYDRO SYSTEMS KG,DEU,520230,"NACELLE A CISEAUX 16,5M A400M",2015-01-15,2015-06-15,2015
4497,INDRA SISTEMAS SA,ESP,99274,"INTERFACE UNIT,COMMUNICATION EQUIPMENT",2015-01-15,2015-06-15,2015
4498,INNOVATION FOR SHELTER SL,ESP,450000,MODULAR COLPRO TENT,2015-01-15,2015-06-15,2015
4499,INSTALAZA SA,ESP,185100,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4500,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4501,TECHNOLOGIES,USA,2533250,SONOBUOY,2015-01-15,2015-06-15,2015
4502,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4503,,USA,443929,WASHING SYSTEM,2015-01-15,2015-06-15,2015
4504,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4505,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4506,,USA,104916,SIGNAL UNDERWATER SOUND,2015-01-15,2015-06-15,2015
4507,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4508,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4509,,USA,3067446,SONOBUOYS,2015-01-15,2015-06-15,2015
4510,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4511,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4512,,USA,142601,"NUT,SELF-LOCKING,PLATE",2015-01-15,2015-06-15,2015
4513,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4514,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4515,,USA,221339,WHEEL HALF ASSEMBLY,2015-01-15,2015-06-15,2015
4516,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4517,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4518,,USA,157523,DIGITAL FLIGHT CONT.COMPUTER,2015-01-15,2015-06-15,2015
4519,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4520,INTEGRATED PROCUREMENT,,,,2015-01-15,2015-06-15,2015
4521,,USA,199661,"PHASE SHIFTER,ELECTRONIC",2015-01-15,2015-06-15,2015
4522,TECHNOLOGIES,,,,2015-01-15,2015-06-15,2015
4523,ISOIL IMPIANTI SPA,ITA,93900,"PRESET VALVE 4"", NUMBERED 5",2015-01-15,2015-06-15,2015
4524,IVECO ESPANA SL,ESP,1079000,"REFUELING TRUCK , TACTICAL",2015-01-15,2015-06-15,2015
4525,JUNGHANS T2M SAS,FRA,801000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4526,KONGSBERG DEFENCE &,,,,2015-01-15,2015-06-15,2015
4527,,NOR,230330,PROTECTING COVER ASSY,2015-01-15,2015-06-15,2015
4528,AEROSPACE AS,,,,2015-01-15,2015-06-15,2015
4529,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4530,,DEU,618052,"PARTS KIT, VEHICULA",2015-01-15,2015-06-15,2015
4531,CO KG,,,,2015-01-15,2015-06-15,2015
4532,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4533,,DEU,173047,BOXER SPARE PARTS,2015-01-15,2015-06-15,2015
4534,CO KG,,,,2015-01-15,2015-06-15,2015
4535,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4536,,DEU,380766,"TORSION BAR,SUSPENSION",2015-01-15,2015-06-15,2015
4537,CO KG,,,,2015-01-15,2015-06-15,2015
4538,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4539,,DEU,140009,"FLAP, QUICK-RELEASE",2015-01-15,2015-06-15,2015
4540,CO KG,,,,2015-01-15,2015-06-15,2015
4541,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4542,,DEU,160598,"CUSHION,SEAT,VEHICULAR",2015-01-15,2015-06-15,2015
4543,CO KG,,,,2015-01-15,2015-06-15,2015
4544,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4545,,DEU,107665,BOXER SPARE PARTS,2015-01-15,2015-06-15,2015
4546,CO KG,,,,2015-01-15,2015-06-15,2015
4547,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4548,,DEU,165044,BOXER SPARE PARTS,2015-01-15,2015-06-15,2015
4549,CO KG,,,,2015-01-15,2015-06-15,2015
4550,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4551,,DEU,128070,BOXER SPARE PARTS,2015-01-15,2015-06-15,2015
4552,CO KG,,,,2015-01-15,2015-06-15,2015
4553,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4554,,DEU,115615,SPARE PARTS FOR PZH2000 AND BOXER,2015-01-15,2015-06-15,2015
4555,CO KG,,,,2015-01-15,2015-06-15,2015
4556,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2015-01-15,2015-06-15,2015
4557,CO KG,DEU,180500,"HUB,WHEEL,VEHICULAR",2015-01-15,2015-06-15,2015
4558,L-3 COMMUNICATIONS,USA,97689,"PREAMPLIFIER,TRAVEL",2015-01-15,2015-06-15,2015
4559,LANGA INDUSTRIAL SA,ESP,251600,NITROGEN CART,2015-01-15,2015-06-15,2015
4560,LECHMOTOREN GMBH,DEU,1163290,"PARTS KIT,ELECTRICAL GENERATOR",2015-01-15,2015-06-15,2015
4561,LEVEL PEAKS ASSOCIATES LTD,GBR,101190,HARNESS,2015-01-15,2015-06-15,2015
4562,LIFE TIME ENGINEERING AB,SWE,174200,SIDEWINDER ROCKET MOTOR SURVEILLANCE TEST,2015-01-15,2015-06-15,2015
4563,LOCKHEED MARTIN OVERSEAS,,,,2015-01-15,2015-06-15,2015
4564,,USA,224656,"CABLE ASSEMBLY,RF W60",2015-01-15,2015-06-15,2015
4565,CORP,,,,2015-01-15,2015-06-15,2015
4566,LOCKHEED MARTIN SIPPICAN INC,USA,199396,SUBMARINE ATTACK TRAINER,2015-01-15,2015-06-15,2015
4567,LORD CORP,USA,135605,"MOUNT,RESILIENT,WEA",2015-01-15,2015-06-15,2015
4568,M INTERNATIONAL EXPORT,USA,170887,"GEARSHAFT,HELICAL",2015-01-15,2015-06-15,2015
4569,M INTERNATIONAL EXPORT,USA,1044250,AIRCRAFT GAS TURBINE ENGINE COMPRESSOR ROBOT,2015-01-15,2015-06-15,2015
4570,MAGELLAN AEROSPACE WINNIPEG,CAN,11960003,CRV7 ROCKET MOTOR RLU-5002 A/B,2015-01-15,2015-06-15,2015
4571,MAX MERLIN LTD,CZE,593273,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4572,MDA SYSTEMS LTD,CAN,167347,GDP SOFTWARE EXTENSION,2015-01-15,2015-06-15,2015
4573,MED-ENG LLC,USA,574062,EXPLOSIVE ORDNANCE DISPOSAL ROBOT,2015-01-15,2015-06-15,2015
4574,MIL POWER LTD,GBR,206463,"BATTERY,NONRECHARGEABLE",2015-01-15,2015-06-15,2015
4575,MILISPEC INTERNATIONAL BV,NLD,82967,"LUBRICATING OIL,ENGINE",2015-01-15,2015-06-15,2015
4576,MONTALBETTI SPA,ITA,3166014,"DEMILITARIZATION, DISMANTLING, DISPOSAL SERVICES OF ARMOURED VEHICLES",2015-01-15,2015-06-15,2015
4577,MOOG WOLVERHAMPTON LTD,GBR,166848,"GRIP ASSEMBLY,CONTROLLER,AIRCRAFT",2015-01-15,2015-06-15,2015
4578,MUGNAIONI PIROTECNICA,,,,2015-01-15,2015-06-15,2015
4579,,ITA,354900,SIGNAL SMOKE FAE 63,2015-01-15,2015-06-15,2015
4580,INDUSTRIALE,,,,2015-01-15,2015-06-15,2015
4581,MUNITIQUE SARL,FRA,123903,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4582,NAMMO BAKELITTFABRIKKEN AS,NOR,1650000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4583,NAMMO LAPUA OY,FIN,104978,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4584,NAMMO LAPUA OY,FIN,732905,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4585,NAMMO NAD AS,NOR,9733511,TRANSPORT,2015-01-15,2015-06-15,2015
4586,NAMMO PALENCIA SL,ESP,118800,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4587,NEXTER MUNITIONS,FRA,1352160,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4588,NEXTER MUNITIONS,FRA,89345,TRANSPORT COSTS,2015-01-15,2015-06-15,2015
4589,NEXTER SYSTEMS,FRA,162404,"SUPPORT,GUIDE,CHAIN",2015-01-15,2015-06-15,2015
4590,NEXTER SYSTEMS,FRA,384918,SPARE PARTS FOR HELICOPTERS,2015-01-15,2015-06-15,2015
4591,NOBEL SPORT,FRA,2342400,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4592,NORCATEC LLC,USA,446070,"NOZZLE,TURBINE,AIRCRAFT GAS TURBINE ENGINE",2015-01-15,2015-06-15,2015
4593,NORTHROP GRUMMAN SPERRY,,,,2015-01-15,2015-06-15,2015
4594,MARINE BV,GBR,87841,MOUNTING TRAY,2015-01-15,2015-06-15,2015
4595,OBERMEYER PLANEN UND BERATEN,,,,2015-01-15,2015-06-15,2015
4596,,DEU,229079,ARCHICTAL & ENGINEERING SERVICES,2015-01-15,2015-06-15,2015
4597,GMBH,,,,2015-01-15,2015-06-15,2015
4598,OFFICINA AUTOELETTRICA,,,,2015-01-15,2015-06-15,2015
4599,,ITA,814380,LD3 REINFORCED CONTAINERS,2015-01-15,2015-06-15,2015
4600,GROSSETANA,,,,2015-01-15,2015-06-15,2015
4601,PARKER-HANNIFIN LTD,GBR,231956,"COVER,SHIPPING AND STORAGE CONTAINER",2015-01-15,2015-06-15,2015
4602,PARTYARD LDA,PRT,104077,"TANK,FUEL,ENGINE",2015-01-15,2015-06-15,2015
4603,PEZT CO SRL,ITA,452500,MICROPHONE SYSTEM CONFERENCE,2015-01-15,2015-06-15,2015
4604,PRAS TECNICA EDILIZIA SRL,ITA,278578,AIRBASE ARCHITECTAL & ENGINEERING SERVICES,2015-01-15,2015-06-15,2015
4605,PRAS TECNICA EDILIZIA SRL,ITA,89421,"EARTHWORKS, PADS, FENCING & SAFETY ELEMENTS (LIGHTING PROTECTION",2015-01-15,2015-06-15,2015
4606,PRAS TECNICA EDILIZIA SRL,ITA,204796,DESIGN SERVICES - PABRADE TRAINING AREA,2015-01-15,2015-06-15,2015
4607,PRAS TECNICA EDILIZIA SRL,ITA,142205,DESIGN SERVICES- ENGINE RUN-UP AREA,2015-01-15,2015-06-15,2015
4608,PRATT & WHITNEY CANADA / M.T.U.,DEU,143300,TURBINE ENGINE (PT6A-42),2015-01-15,2015-06-15,2015
4609,PROCOMM-MMC,FRA,148689,ENCODEUR-ENREGISTREUR VIDEO DURCI,2015-01-15,2015-06-15,2015
4610,PROFILE EQUIPMENT BV,NLD,545000,2ND HAND PILOT BOAT,2015-01-15,2015-06-15,2015
4611,RAYTHEON CO MISSILE SYSTEMS,USA,3524409,PHANTOM IRXR 17 UM FINNISH KIT,2015-01-15,2015-06-15,2015
4612,RAYTHEON COMPANY,USA,141315,"RECEIVER-TRANSMITTER,RADIO",2015-01-15,2015-06-15,2015
4613,RAYTHEON COMPANY,USA,443961,UPGRADE OF ITAS ACCEPTANCE TEST BENCH,2015-01-15,2015-06-15,2015
4614,REBOPORT - SOCIEDADE,,,,,2015-01-15,2015-06-15
4615,,PRT,832876,SINGLE TOWAGE NAVY PATROL BOAT,,2015-01-15,2015-06-15
4616,PORTUGUESA DE,,,,,2015-01-15,2015-06-15
4617,RELYANT LLC,USA,166989,RENTAL OF FORKLIFTS,,2015-01-15,2015-06-15
4618,RHEINMETALL DEFENCE,,,UPGRADE OF MIRROR DRIVE TEST,,2015-01-15,2015-06-15
4619,ELECTRONICS GMB,DEU,720000,EQUIPMENT,,2015-01-15,2015-06-15
4620,RHEINMETALL MAN MILITARY,,,,,2015-01-15,2015-06-15
4621,,DEU,245148,BOXER SPARE PARTS,,2015-01-15,2015-06-15
4622,VEHICLES,,,,,2015-01-15,2015-06-15
4623,RHEINMETALL MAN MILITARY,,,,,2015-01-15,2015-06-15
4624,,DEU,146937,BOXER SPARE PARTS,,2015-01-15,2015-06-15
4625,VEHICLES,,,,,2015-01-15,2015-06-15
4626,RHEINMETALL MAN MILITARY,,,,,2015-01-15,2015-06-15
4627,,DEU,165599,BOXER SPARE PARTS,,2015-01-15,2015-06-15
4628,VEHICLES,,,,,2015-01-15,2015-06-15
4629,RHEINMETALL WAFFE MUNITION,DEU,658000,SUPPLY OF AMMUNITION,,2015-01-15,2015-06-15
4630,RHEINMETALL WAFFE MUNITION,DEU,233192,"RING,OBTURATOR",,2015-01-15,2015-06-15
4631,RHEINMETALL WAFFE MUNITION,DEU,307500,"SPECIAL TOOL, MUZZLE BRAKE",,2015-01-15,2015-06-15
4632,RHEINMETALL WAFFE MUNITION,,,,,2015-01-15,2015-06-15
4633,,DEU,301093,SUPPLY OF AMMUNITION,,2015-01-15,2015-06-15
4634,GMBH,,,,,2015-01-15,2015-06-15
4635,RHEINMETALL WAFFE MUNITION,,,,,2015-01-15,2015-06-15
4636,,DEU,582120,SUPPLY OF AMMUNITION,,2015-01-15,2015-06-15
4637,GMBH,,,,,2015-01-15,2015-06-15
4638,RINGFEDER POWER TRANSMISSION,,,,,2015-01-15,2015-06-15
4639,GMBH,DEU,138144,SPRING,,2015-01-15,2015-06-15
4640,ROCKWELL-COLLINS (UK) LTD,GBR,99896,"RECEIVER-TRANSMITTER,RADIO",,2015-01-15,2015-06-15
4641,ROCKWELL-COLLINS FRANCE,FRA,118125,CONTROL-INDICATOR,,2015-01-15,2015-06-15
4642,ROHDE & SCHWARZ BELGIUM SA,BEL,1055840,MULTIBAND TRANSCEIVERS FOR AIRCRAFT,2015-01-15,2015-06-15,2015
4643,ROHDE & SCHWARZ GMBH & CO KG,DEU,102280,"TEST SET,RADIO",,2015-01-15,2015-06-15
4644,ROHDE & SCHWARZ HUNGARIA,HUN,1201207,CONSTRUCTION OF ATS,2015-01-15,2015-06-15,2015
4645,RUAG AMMOTEC GMBH,DEU,81600,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4646,RUAG AMMOTEC GMBH,DEU,123690,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4647,RUAG AMMOTEC GMBH,DEU,264450,"PRIMER,PERCUSSION DM191 A2",2015-01-15,2015-06-15,2015
4648,RUAG AMMOTEC GMBH,DEU,872439,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4649,S&K LOGISTICS SERVICES,USA,725676,PROCUREMENT OF VARIOUS SPARE PARTS FOR HELICOPTERS,2015-01-15,2015-06-15,2015
4650,SAAB DYNAMICS AB,SWE,1746800,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4651,SAE ALSETEX,FRA,520394,SUPPLY OF DETONATOR,2015-01-15,2015-06-15,2015
4652,SAGEM DEFENSE SECURITE,FRA,93657,"MOUNTING BASE,ELECTRICAL EQUIPMENT",2015-01-15,2015-06-15,2015
4653,SAG-EPITO ZRT,HUN,354487,TRANSIENT HAZMAT STORAGE CONSTRUCTION,2015-01-15,2015-06-15,2015
4654,SAIMA AVANDERO SPA,ITA,81995,TRANSPORTATION OF PALLETS + 2TEUS,2015-01-15,2015-06-15,2015
4655,SAIMA AVANDERO SPA,ITA,1243840,TRANSPORTATION SERVICES,2015-01-15,2015-06-15,2015
4656,SATAIR A/S,DNK,681180,BRAKE ASSEMBLY,2015-01-15,2015-06-15,2015
4657,SATAIR A/S,DNK,423713,"WHEEL,LANDING GEAR",2015-01-15,2015-06-15,2015
4658,SAYWELL INTERNATIONAL LTD,GBR,124138,"LINING,FRICTION",2015-01-15,2015-06-15,2015
4659,SECONDO MONA SPA,ITA,150400,"ROTOR,MOTOR",2015-01-15,2015-06-15,2015
4660,SELEX ES SPA,ITA,146243,SWITCH PRESSURE,2015-01-15,2015-06-15,2015
4661,SELEX ES SPA,ITA,129105,BOOSTER,2015-01-15,2015-06-15,2015
4662,SELLIER & BELLOT TRADE JSC,CZE,13545635,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4663,SELLIER & BELLOT TRADE JSC,CZE,652500,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4664,SENSTAR CORPORATION,CAN,1690493,INTRUSION DETECTION SYSTEM,2015-01-15,2015-06-15,2015
4665,SICAMB S.P.A.,ITA,260966,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4666,SIELMAN SA,GRC,117600,"CABLE AND CONDUIT ASSEMBLY,ELECTRICAL",2015-01-15,2015-06-15,2015
4667,SIKORSKY INTERNATIONAL,,,,2015-01-15,2015-06-15,2015
4668,,USA,93675,"ACTUATOR,ELECTRO-MECHANICAL,LINEAR",2015-01-15,2015-06-15,2015
4669,OPERATIONS,,,,2015-01-15,2015-06-15,2015
4670,SIMAV SPA,ITA,1933308,SITE SET-UP,2015-01-15,2015-06-15,2015
4671,SIMEX DEFENCE INC,CAN,129931,"CYLINDER,COMPRESSED GAS",2015-01-15,2015-06-15,2015
4672,SIMMEL DIFESA SPA,ITA,214000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4673,SISAM AGENTI SRL,ITA,147142,TRANSPORTATION SERVICES,2015-01-15,2015-06-15,2015
4674,SOFEMA,FRA,131165,"TIRE,PNEUMATIC,AIRCRAFT",2015-01-15,2015-06-15,2015
4675,SOI AVIATION,USA,162193,"IGNITER,SPARK,GAS TANK",2015-01-15,2015-06-15,2015
4676,SPREEWERK LUEBBEN GMBH,DEU,572131,DEMILITARIZATION,2015-01-15,2015-06-15,2015
4677,STANDARD AERO LTD,CAN,201060,"UNIT ASSY,REDUCTION",2015-01-15,2015-06-15,2015
4678,STV GROUP AS,CZE,480000,SUPPLY OF AMMUNITION,2015-01-15,2015-06-15,2015
4679,SUPRAMECA SAS,FRA,194461,"KIT INERT, NON EXPLOSIVE COMPONENT",2015-01-15,2015-06-15,2015
4680,TCM SRL,ITA,527160,160 TONNES CRANE,2015-01-15,2015-06-15,2015
4681,TECNOLOGIE INDUSTRIALI &,ITA,103360,CUSCINO ISOLANTE,2015-01-15,2015-06-15,2015
4682,TERADYNE SA,FRA,119168,CENTRAL RESOURCE BOARD,2015-01-15,2015-06-15,2015
