,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1151,STEEP GMBH,DEU,499000,MODIFICATION OF THE RADAR POWER DISTRIBUTION CABINET,2013-07-13,2013-12-13,2013
1152,STEEP GMBH,DEU,1071700,SUPPLY OF POWER MODULES,2013-07-13,2013-12-13,2013
1153,STERNE SA,FRA,396687,PROCUREMENT OF SYRANOS RADIO SET,2013-07-13,2013-12-13,2013
1154,STERNE SA,FRA,5909422,E/R PORTATIF SYRANOS 2,2013-07-13,2013-12-13,2013
1155,STERNE SA,FRA,3918512,E/R PORTATIF SYRANOS 2,2013-07-13,2013-12-13,2013
1156,STRABAG BUILDER CO. LTD.,HUN,213476,PROVISION OF CONSTRUCTION SERVICES FOR THE APRON M MODIFICATION (APRON M) AT,2013-07-13,2013-12-13,2013
1157,STV GROUP AS,CZE,186430,PAPA AIR BASE TATRA SPARE PARTS,2013-07-13,2013-12-13,2013
1158,SURCOM INTERNATIONAL BV,NLD,252905,"SUPPLY OF RADIO, ANTENNA LOADER AND OTHER FOR HELICOPTER",2013-07-13,2013-12-13,2013
1159,TECHNIK CONSULTING ALVADE,ESP,460110,"SUPPLY OF VIEWER,NIGHT VISION",2013-07-13,2013-12-13,2013
1160,TELEMETER ELECTRONIC GMBH,DEU,125944,MAINTENANCE KIT ELECTRONIC EQUIPMENT,2013-07-13,2013-12-13,2013
1161,TELEVIC AUDIOVISUAL NV,BEL,140552,INSTALLATION OF A NEW VTC SYSTEM IN NSPA'S CONFERENCE ROOMS,2013-07-13,2013-12-13,2013
1162,TERRANG MP-SEC FRANCE,FRA,80520,PURCHASE OF THERMAL IMAGERY CAMERA,2013-07-13,2013-12-13,2013
1163,THALES ELECTRONIC SYSTEMS,,,,2013-07-13,2013-12-13,2013
1164,,DEU,391392,RADAR RECEIVERS & SPARES,2013-07-13,2013-12-13,2013
1165,GMBH,,,,2013-07-13,2013-12-13,2013
1166,TRANSACO SA,FRA,137034,SUPPLY OF LITTER,2013-07-13,2013-12-13,2013
1167,UNI BUSINESS CENTRE BV,NLD,99640,"PROCUREMENT OF HARD DRIVE ARRAY,RM,P2000 G3 MSA",2013-07-13,2013-12-13,2013
1168,UNI BUSINESS CENTRE BV,NLD,306459,DELL IT EQUIPMENTS,2013-07-13,2013-12-13,2013
1169,UNITED VALVE COMPANY,USA,91278,HYDRAULIC ACCUMULATORS,2013-07-13,2013-12-13,2013
